Scenario,Campaign,Start_Year__KP__HIVMC_CONTROL_VMMC,Start_Year__KP__HIVMC_CONTROL_PrEP_TDF_FSW,Start_Year__KP__HIVMC_CONTROL_PrEP_TDF_AGYW,Start_Year__KP__HIVMC_CONTROL_PrEP_CHOICE_FSW,Start_Year__KP__HIVMC_CONTROL_PrEP_CHOICE_AGYW,Choice_Probabilities__KP_ART_Retention
hivcontrol_baseline,campaign_Nyanza_20250606_HIVControl_interventions.json,2099,2099,2099,2099,2099,"[1,0]"
hivcontrol_retention,campaign_Nyanza_20250606_HIVControl_interventions.json,2099,2099,2099,2099,2099,"[0,1]"
